Wie definiert Eric Berne das Konzept der 'Autonomie'?,"Die Wiedererlangung von drei Fähigkeiten: Wachheit (Awareness), Spontanität und Intimität."
Terminus: Ich-Zustand,"Ein kohärentes System von Gefühlen, das mit einem kohärenten Satz von Verhaltensmustern verbunden ist."
Was kennzeichnet den Ich-Zustand 'Eltern-Ich' (EL)?,"Verhaltensweisen, Denkmuster und Gefühle, die von den Eltern oder Elternfiguren übernommen wurden."
Welche Funktion hat das 'Erwachsenen-Ich' (ER) im Strukturmodell?,Die objektive Erfassung der Realität und die sachliche Verarbeitung von Informationen im Hier und Jetzt.
Was ist das Hauptmerkmal des 'Kind-Ichs' (K)?,"Das Wiedererleben von Gefühlen und Verhaltensweisen, die typisch für die eigene Kindheit waren."
"Definieren Sie die Grundeinstellung 'Ich bin OK, du bist OK' ($+/+$).","Eine Haltung der gegenseitigen Wertschätzung, in der Menschen als gleichwertig und fähig angesehen werden."
"Welcher psychologische Zustand ist mit der Einstellung 'Ich bin nicht OK, du bist OK' ($-/+$) verbunden?","Die depressive Grundhaltung, die oft mit Minderwertigkeitsgefühlen einhergeht."
"Was beschreibt die Grundeinstellung 'Ich bin OK, du bist nicht OK' ($+/-$)?","Die wahnhafte oder arrogante Grundhaltung, bei der Fehler primär bei anderen gesucht werden."
Was ist eine 'Transaktion' in der TA?,"Die kleinste Einheit der sozialen Interaktion, bestehend aus einem Reiz und einer Reaktion."
Erste Kommunikationsregel: Was geschieht bei einer komplementären (parallelen) Transaktion?,Die Kommunikation verläuft reibungslos und kann prinzipiell unbegrenzt fortgesetzt werden.
Zweite Kommunikationsregel: Welche Folge hat eine gekreuzte Transaktion?,"Die Kommunikation wird unterbrochen, und es muss ein Wechsel der Ich-Zustände erfolgen, um sie fortzusetzen."
Dritte Kommunikationsregel: Was bestimmt das Ergebnis einer doppelbödigen Transaktion?,Das Ergebnis wird auf der psychologischen Ebene (der unterschwelligen Botschaft) entschieden.
Konzept: Strokes (Zuwendung),"Einheiten der Anerkennung, die für das psychische Überleben so wichtig sind wie Nahrung für den Körper."
